Word,AoALikert,Frequency
Abend,1.84,0.06872671851991019
Abendrot,2.37,0.0002656043542165056
Abfall,2.35,0.00412513361837042
Abschied,2.47,0.009571064828718187
Achtung,2.59,0.005546108809381652
Adler,2.86,0.005557593401805276
Adresse,2.85,0.018246713496327175
Affe,1.79,0.002569040808230044
Alphabet,2.94,0.0008353420178771574
Alter,2.14,0.04153489679079273
Ameise,2.25,0.0008808751852179958
Ampel,2.1,0.004217126129860455
Amsel,2.385,0.00045268049229446367
Anfang,2.47,0.07021090527809176
Angel,2.53,0.003550487217625478
Angeln,2.8,1.803729334274761e-05
Angler,2.67,0.001268711723717383
Anker,2.67,0.0019043584445027216
Anorak,3.0,0.00018032662458705828
Anruf,2.61,0.007565081633918521
Antwort,1.74,0.05388380898918499
Apfel,1.6949999999999998,0.005833478318594542
April,2.64,0.08203239451575517
Arbeit,2.56,0.13885251972652407
Arbeiter,2.54,0.012396031443517409
Arm,1.5,0.008741789268935766
Arzt,2.235,0.04474661168634152
Asche,2.89,0.002319227768596021
Aufgabe,2.83,0.057934373797272586
Aufkleber,2.5,0.0014623289855043606
Auge,1.58,0.05372373090507063
August,2.5,0.08288424563524129
Ausflug,2.5,0.010566403890238971
Auto,1.595,0.06602349784656945
Baby,1.88,0.01068322951740307
Bach,2.29,0.013414432307566277
Backe,2.08,0.0019366704379042675
Bad,1.6,0.10538168232515206
Badeanzug,2.4,0.0003794546383837585
Bagger,1.71,0.0023954289655035723
Balkon,2.43,0.005791094152402116
Ball,1.47,0.029885803788794827
Ballon,2.05,0.001546680538325451
Banane,2.26,0.0021263398710456246
Band,2.69,0.045998385951676074
Bank,2.1,0.05412919953455911
Bauarbeiter,2.75,0.0019900529536959295
Bauch,1.42,0.005872655597588032
Bauchweh,1.89,0.00015447471442380062
Bauer,2.2,0.021366424303175827
Baum,1.69,0.030037766248625957
Becher,1.72,0.002438565650352788
Beginn,2.5,0.05404810117777737
Bein,1.71,0.018394554469361123
Beispiel,2.87,0.09877649033541447
Besen,2.11,0.0009232477742003169
Besteck,2.37,0.0007141054736632595
Besuch,2.21,0.037832759698008936
Beton,2.82,0.002758108226445969
Bett,1.25,0.015215278916525026
Bettchen,1.85,0.00023066433412124738
Bettler,2.81,0.0006817008625808779
Beule,2.29,0.00042931768230366476
Beutel,2.8,0.002011598141700328
Bewegung,2.64,0.024190661553738467
Biber,2.895,0.0011981486281307033
Biene,1.845,0.0031809195166709278
Bild,1.85,0.13454388732799796
Birne,2.205,0.0015954321700753292
Blaubeere,2.8,0.00024334137918563032
Blick,2.69,0.06597893716487739
Blindekuh,2.62,1.6775377441361546e-05
Blitz,2.0,0.0028031088421220027
Block,3.0,0.0065735862061524165
Blume,1.71,0.009906664995226253
Blumenkohl,2.85,0.0003935441030808855
Bluse,2.71,0.001817332556147501
Blüte,2.6,0.0058381439342666385
Boden,1.92,0.03266098840014487
Bogen,3.0,0.005175904361871357
Bohne,2.58,0.001927709677283416
Bohrer,2.86,0.0005962263203796547
Bonbon,1.82,0.0009819094977996123
Boot,1.935,0.011214090909532948
Brei,1.5,0.0008285577727559443
Brezel,2.94,0.0006023738189451226
Brief,2.53,0.019937345065091476
Brille,2.04,0.004751935350635952
Brombeere,2.7,0.0003322196211575645
Brot,1.7,0.008773985490236268
Bruder,1.63,0.02412809831033397
Brunnen,2.46,0.005621569064842518
Brücke,2.21,0.01676329083401249
Buch,1.79,0.08556857230169154
Buche,2.83,0.004656550716585312
Buchladen,2.64,0.0007364494891648659
Burg,2.28,0.01207021401954761
Bus,1.995,0.027046215157633672
Butter,1.88,0.005288620079448373
Bäcker,2.0,0.0027958730858067154
Bär,1.72,0.00584850553731013
Büro,2.73,0.019672145913228627
Bürste,1.995,0.0008507397073160883
Clown,2.06,0.002523484486468997
Couch,2.91,0.0019924494361875525
Cowboy,2.82,0.0013344702771107117
Creme,2.2,0.003244466822934305
Dach,2.0,0.017271090423614285
Dackel,2.57,0.0004664689495288747
Dame,2.5,0.025959798184221106
Dank,2.87,0.028099787585979887
Daumen,1.55,0.0048044958845101975
Decke,1.71,0.0067162290118494596
Deckel,1.95,0.0029249010924209144
Dezember,2.8,0.07557857454813338
Dieb,2.47,0.005333284956031377
Dienstag,2.63,0.07423882506321504
Ding,1.92,0.04693106915211153
Doktor,2.39,0.08077097643440359
Donner,2.21,0.000842994553756205
Donnerstag,2.44,0.08192593049163456
Dose,2.17,0.0037879821057083566
Drache,2.45,0.001122549446148584
Dreck,2.3,0.002497783080037097
Dreirad,1.9,0.00025549744979531263
Dschungel,2.78,0.0019212380168350232
Duft,2.83,0.006290500264678177
Durst,1.61,0.0012965549140186074
Dusche,2.0,0.004334437999848941
Ehering,2.96,0.0003395016863132694
Ei,1.58,0.011302876533824047
Eiche,2.96,0.001887710416372509
Eichhörnchen,2.6,0.000728461214192789
Eidechse,2.93,0.0002751787069728934
Eigelb,2.57,0.0007145801392775422
Eimer,1.85,0.0016488378402872
Einfahrt,2.74,0.0017219247676766517
Einfall,3.0,0.0012619390558062742
Eis,1.64,0.010726053617579466
Eisbär,2.75,0.0031691918028351105
Eisenbahn,2.13,0.0023846274284761116
Elefant,2.165,0.002851895205502194
Ellenbogen,2.44,0.0006139626062596863
Ende,2.17,0.17738836339417682
Engel,2.18,0.008741835577776184
Enkel,2.65,0.004951375949105473
Ente,1.6933333333333334,0.0024437059316391677
Erbse,1.945,0.0007050636725716768
Erdbeere,1.875,0.002088876019147594
Erde,2.06,0.020791708439170258
Erlebnis,2.95,0.012454924711318793
Ernte,2.84,0.004058622546320302
Esel,1.96,0.0016255908023974457
Essenszeit,2.33,8.755844002002579e-05
Esstisch,2.95,2.755376004861317e-06
Eule,2.315,0.0011169229220378168
Euter,2.76,0.0001409062241813743
Faden,2.45,0.0049894765475592484
Fahne,2.88,0.005476147728720405
Fahrer,2.58,0.02487294127682457
Fahrrad,2.21,0.011799967204079217
Fahrt,2.52,0.02400243927186017
Falle,3.0,0.013658086271424726
Familie,2.11,0.09704009405510725
Fantasie,2.6,0.00409763774437233
Farbe,1.84,0.038467711786188005
Faust,2.52,0.005717648331499426
Feder,2.46,0.004302646980902095
Fee,2.0,0.0013123925374415079
Fehler,2.2,0.0298540590786884
Feier,2.88,0.008916234670789759
Feigling,2.88,0.0003586851234563585
Feld,2.12,0.022667089126781517
Fenster,1.68,0.019238915133909653
Ferien,2.74,0.007840190877630788
Fernrohr,2.93,0.00029433898969577363
Fernsehen,2.52,0.01773724678847034
Ferse,2.65,0.001206102171472467
Feuer,1.79,0.016413855901429596
Feuerwehrmann,2.2,0.0024216513463901725
Fibel,2.83,0.0001355343986929052
Fieber,2.74,0.0020983114453827284
Figur,2.7,0.01928942650159541
Film,2.56,0.07360585267796384
Filzstift,2.47,0.0002058427956572866
Finger,1.58,0.0104177177808674
Fisch,1.575,0.01151948613487848
Fischer,2.615,0.023528676679965485
Fischstäbchen,3.0,0.00012906273824451244
Flamme,2.41,0.006479590837314311
Flasche,2.0,0.00893869445839241
Fleisch,2.14,0.009829699702451808
Fleischer,3.0,0.001390457665175877
Fliegen,2.7,8.237184989322802e-05
Flieger,2.71,0.002431711941970948
Flughafen,2.93,0.01934665265114175
Flugzeug,2.335,0.011561291440565682
Fluss,1.89,0.00036902357207964067
Flöte,2.585,0.0017247148753118263
Fohlen,2.6,0.0006133953229645678
Form,3.0,0.056025685476190794
Foto,2.0,0.14382218766759458
Fotograf,2.92,0.008594920781550596
Frage,1.84,0.15845597805220293
Frau,2.08,0.21546745139157833
Frechdachs,2.63,5.060398536659166e-05
Fremder,2.11,0.0
Freude,2.64,0.030050790609993477
Freund,1.84,0.06647769495338761
Friseur,2.65,0.002026034922700589
Frisur,2.95,0.002080169957149041
Frosch,2.055,0.0021517171155945995
Frühjahr,2.87,0.017005995466642377
Fuchs,2.055,0.010412311223748617
Funke,2.83,0.002383353935364621
Futter,2.27,0.003161180373442825
Fuß,1.71,0.029472080608501868
Fußball,2.45,0.03840153645323092
Föhn,2.72,0.0006454757721640246
Gabel,1.63,0.001222993321014873
Gang,3.0,0.016446804641386887
Gans,1.8833333333333333,0.0016546380225495342
Garage,2.32,0.005050997842054345
Garten,1.89,0.025962032585771268
Gast,2.88,0.1021487348262717
Geburtstag,1.75,0.03394229612845591
Gedicht,2.74,0.009626473356278129
Gefühl,2.68,0.03400736004924297
Geheul,2.6,6.617533295708944e-05
Geier,2.63,0.0008953698522687789
Geige,2.8,0.0018793053618366717
Gekicher,2.96,5.210902268017137e-05
Geld,2.18,0.09758237057640011
Geländer,2.31,0.001026088131558229
Gemüse,2.18,0.008145065128521619
Geruch,2.39,0.00395256372455335
Gesang,2.36,0.008553590141477675
Geschenk,1.82,0.015412404072973656
Geschichte,2.15,0.09178282506062174
Geschrei,2.38,0.0007094167035709534
Gesicht,2.14,0.029572721295939932
Gespräch,2.53,0.06063329932566456
Gestank,2.48,0.000577204964178028
Gesundheit,2.82,0.018745378667156552
Geweih,2.85,0.0002296918484724728
Gewinn,2.96,0.024934566766210607
Gewitter,2.6,0.002526645064827514
Gewürz,3.0,0.002277769779211952
Giraffe,2.255,0.0006309000646425103
Gitarre,2.55,0.0075933531809936105
Gitter,2.25,0.0021618819060663145
Glas,1.86,0.01386059483057193
Glastür,2.96,0.00018540901982291592
Glocke,2.14,0.003476601462738819
Glück,3.0,0.03842256066678062
Gold,2.33,0.017336409043023644
Gorilla,3.0,0.0006637677641290704
Gras,1.8,0.003701419305757314
Großvater,2.11,0.003588854091911656
Grube,2.92,0.002893156382314487
Gruppe,2.73,0.08596039140046685
Gruß,2.74,0.04260386690857788
Gurke,2.2350000000000003,0.0014558341706357588
Gärtner,2.75,0.0033738768774819513
Gürtel,2.26,0.002071880674714248
Haar,1.78,0.01873713569356218
Hafen,2.72,0.00918483752242332
Hafer,2.92,0.0004069042035414315
Haferbrei,2.44,4.137694891333759e-05
Hagel,2.94,0.0008295881444552411
Hahn,1.84,0.007790513069072553
Hai,2.85,0.002031939299853863
Halle,2.39,0.028443700189342957
Hammer,2.145,0.006508441244894624
Hamster,2.665,0.0005198514653205365
Hand,1.46,0.07814878465458398
Handschuh,2.25,0.0025027612803820145
Hase,1.665,0.003886052652503231
Haselnuss,2.63,1.2387614811771466e-06
Haus,1.61,0.1546238983532067
Haustier,2.07,0.0023342897189419227
Heirat,3.0,0.002058856313346731
Heizung,2.63,0.004211939539733657
Held,2.81,0.01104778428638239
Helm,2.69,0.00395342043810108
Hemd,1.875,0.0032815370496887836
Henne,3.0,0.0008380742394618098
Herbst,2.18,0.028061385980063396
Herd,2.21,0.0021294425633536194
Herr,2.56,0.07124154325322105
Herz,2.44,0.039447398459647565
Hexe,2.24,0.003368030386379199
Hilfe,2.18,0.060849295334583456
Himbeere,2.43,0.0008124307190804324
Himmel,1.85,0.018298625706435572
Hirsch,2.925,0.0035767674845626008
Hirte,2.56,0.0015449208023895732
