Word,Upper,BE_TWord,AM_TWord,RatperWord,AoAestimate,SD,min,max,unknown,AoALikert,SDLikert,minLikert,maxLikert
Aal,AAL,eel,eel,21,6.43,2.27,3,11,0,3.48,1.17,2,6
Aas,AAS,carrion,carrion,17,8.65,2.74,5,14,0,4.53,1.37,3,7
Abbau,ABBAU,dismantling,dismantling,16,9.25,2.79,4,13,0,4.69,1.49,2,7
abbauen,ABBAUEN,dismantle,dismantle,17,7.71,3.74,2,15,0,3.94,1.85,1,7
Abbild,ABBILD,likeness,likeness,27,9.37,2.68,3,14,0,4.93,1.41,2,7
Abbruch,ABBRUCH,demolition,demolition,17,8.12,3.28,5,18,0,4.06,1.25,3,7
Abdruck,ABDRUCK,mark,mark,26,6.85,3.11,3,16,0,3.62,1.50,2,7
Abend,ABEND,evening,evening,19,3.05,1.03,1,5,0,1.84,0.60,1,3
Abendrot,ABENDROT,red sunset,red sunset,19,4.21,1.90,2,8,0,2.37,0.96,1,4
abends,ABENDS,in the evening,in the evening,18,3.69,1.32,1,7,0,2.11,0.68,1,4
Abfahrt,ABFAHRT,departure,departure,14,6.43,2.44,4,10,0,3.36,1.22,2,5
Abfall,ABFALL,rubbish,rubbish,17,4.29,2.71,2,12,0,2.35,1.37,1,6
Abflug,ABFLUG,take off,take off,18,7.00,2.97,4,14,0,3.72,1.53,2,7
Abfuhr,ABFUHR,snub,snub,14,9.36,2.21,6,13,0,5.00,1.18,3,7
Abgang,ABGANG,leaving,leaving,17,9.35,3.22,3,14,0,4.94,1.60,2,7
abgeben,ABGEBEN,hand over,hand over,19,4.24,1.92,1.5,10,0,2.37,0.90,1,5
Abgrund,ABGRUND,abyss,abyss,17,7.65,2.42,4,12,0,3.94,1.25,2,6
Abhang,ABHANG,slope,slope,15,6.27,1.83,3,9,0,3.40,0.99,2,5
abhauen,ABHAUEN,run away,run away,27,5.28,2.02,1,9,0,2.89,1.01,1,5
Abhilfe,ABHILFE,remedy,remedy,17,11.65,3.10,6,16,0,5.88,1.41,3,7
Abitur,ABITUR,Abitur,Abitur,19,9.16,2.54,5,14,0,4.84,1.26,3,7
Ablauf,ABLAUF,sequence,sequence,21,7.90,2.32,5,14,0,4.14,1.20,3,7
Ableger,ABLEGER,cutting,cutting,14,8.86,4.50,4,19,0,4.36,1.69,2,7
ablehnen,ABLEHNEN,reject,reject,19,6.58,1.71,3,10,0,3.58,0.84,2,5
Abreise,ABREISE,departure,departure,25,6.04,2.30,3,11,0,3.24,1.16,2,6
Absage,ABSAGE,refusal,refusal,19,8.47,2.95,5,15,0,4.42,1.30,3,7
Absatz,ABSATZ,paragraph,paragraph,17,7.65,2.69,2,14,0,3.88,1.36,1,7
Abschied,ABSCHIED,farewell,farewell,17,4.59,2.00,2,10,0,2.47,0.94,1,5
abseilen,ABSEILEN,abseil,abseil,19,7.11,3.02,3,13,0,3.84,1.57,2,7
abseits,ABSEITS,away from,away from,22,8.39,3.42,4,19,0,4.23,1.34,2,7
Absender,ABSENDER,sender,sender,25,7.44,2.29,3,12,0,3.92,1.08,2,6
Absicht,ABSICHT,intention,intention,26,6.04,2.29,3,12,0,3.23,1.18,2,6
Abstand,ABSTAND,distance,distance,18,6.00,2.63,3,13,0,3.28,1.41,2,7
Abstieg,ABSTIEG,descent,descent,19,7.21,3.88,3,20,0,3.63,1.42,2,7
absurd,ABSURD,absurd,absurd,10,10.50,2.88,7,17,0,5.30,1.06,4,7
Abteil,ABTEIL,compartment,compartment,17,6.88,2.00,5,12,0,3.59,0.94,3,6
Abwasser,ABWASSER,sewage,sewage,17,7.12,2.06,4,10,0,3.71,1.10,2,5
Abwehr,ABWEHR,ward off,ward off,10,7.10,2.47,4,12,0,3.70,1.16,2,6
Abwurf,ABWURF,dropping,dropping,20,6.80,2.97,2,13,0,3.60,1.50,1,7
Abzug,ABZUG,deduction,deduction,26,8.15,3.41,1,16,0,4.23,1.50,1,7
Achse,ACHSE,axle,axle,19,8.16,3.10,3,15,0,4.21,1.36,2,7
Achsel,ACHSEL,armpit,armpit,18,6.33,2.68,3,12,0,3.39,1.24,2,6
acht,ACHT,eight,eight,17,4.35,1.32,2,6,0,2.47,0.62,1,3
achten,ACHTEN,respect,respect,20,6.50,2.67,3,14,0,3.55,1.28,2,7
Achtung,ACHTUNG,attention,attention,17,4.88,3.10,2,15,0,2.59,1.46,1,7
Adapter,ADAPTER,adaptor,adaptor,23,11.00,2.76,5,15,0,5.61,1.27,3,7
adaptieren,ADAPTIEREN,adapt,adapt,17,12.88,3.41,6,20,0,6.06,1.14,3,7
Adel,ADEL,nobility,nobility,25,8.60,2.94,4,16,0,4.44,1.33,2,7
Adler,ADLER,eagle,eagle,22,5.14,1.96,3,11,0,2.86,1.04,2,6
Adoption,ADOPTION,adoption,adoption,20,8.15,2.48,3,12,0,4.30,1.17,2,6
Adrenalin,ADRENALIN,adrenalin,adrenalin,19,12.84,2.73,7,20,0,6.26,0.87,4,7
Adresse,ADRESSE,address,address,20,5.10,2.29,2,12,0,2.85,1.14,1,6
Affe,AFFE,monkey,monkey,18,3.00,1.28,1,6,0,1.78,0.65,1,3
Agent,AGENT,agent,agent,16,8.38,2.31,4,12,1,4.50,1.15,2,6
agil,AGIL,agile,agile,14,13.43,2.38,9,17,0,6.50,0.76,5,7
Ahn,AHN,ancestor,ancestor,18,10.17,3.28,4,16,0,5.17,1.47,2,7
Ahnung,AHNUNG,premonition,premonition,19,7.00,1.83,4,10,0,3.79,0.85,2,5
Ahorn,AHORN,maple,maple,24,6.79,3.02,2,14,0,3.58,1.41,1,7
Akademie,AKADEMIE,academy,academy,24,10.88,2.72,5,18,0,5.54,1.14,3,7
Akkord,AKKORD,chord,chord,19,10.00,2.79,5,15,0,5.16,1.21,3,7
Akkordeon,AKKORDEON,accordion,accordion,27,7.78,2.67,3,15,0,4.11,1.25,2,7
akkurat,AKKURAT,accurate,accurate,17,10.12,3.24,4,15,0,5.12,1.58,2,7
Aktie,AKTIE,stock,stock,18,12.11,3.53,6,18,0,5.83,1.42,3,7
Aktion,AKTION,action,action,19,8.58,2.67,3,13,0,4.58,1.30,2,7
aktiv,AKTIV,active,active,24,7.71,2.77,3,15,0,3.96,1.27,2,7
aktivieren,AKTIVIEREN,activate,activate,20,8.50,3.24,4,18,0,4.25,1.33,2,7
Aktivität,AKTIVITÄT,activity,activity,14,9.29,3.99,5,20,0,4.64,1.34,3,7
akut,AKUT,acute,acute,26,10.96,3.28,3,16,0,5.54,1.42,2,7
Akzent,AKZENT,accent,accent,25,9.52,2.66,3,14,0,4.92,1.29,2,7
akzeptieren,AKZEPTIEREN,accept,accept,19,8.58,1.74,4,12,0,4.53,0.90,2,6
Alarm,ALARM,alarm,alarm,14,5.86,1.61,3,9,0,3.14,0.86,2,5
albern,ALBERN,silly,silly,19,5.47,2.12,2,10,0,3.00,1.05,1,5
Album,ALBUM,album,album,20,5.90,2.55,3,14,0,3.15,1.23,2,7
Algebra,ALGEBRA,algebra,algebra,18,12.28,3.92,2,20,1,5.89,1.53,1,7
Alkoven,ALKOVEN,alcove,alcove,12,13.17,2.17,10,17,4,6.33,0.78,5,7
All,ALL,outer space,outer space,22,6.45,1.87,4,11,0,3.36,1.00,2,6
alle,ALLE,finished,finished,24,3.50,1.29,1,6,0,1.92,0.65,1,3
Allee,ALLEE,avenue,avenue,16,7.44,2.78,3,13,0,4.00,1.41,2,7
allein,ALLEIN,alone,alone,25,4.04,1.62,2,8,0,2.24,0.78,1,4
